title,price,rooms,mtts,floor,link,description
"
Piso en Labradores, Salamanca
",298.000,5 hab.,123 m²,Planta 3ª exterior con ascensor,/inmueble/101698833/,"
Se vende bonita vivienda junto al mercado de San Juan, magnifica zona tranquila con todos los servicios y a un paso del centro. La vivienda se caracteriza por ser muy luminosa y exterior con 7 huecos a la calle y se distribuye en espacioso hall de entrada, acogedor salón, cómoda cocina con despensa,
"
"
Piso en Pizarrales, Salamanca
",109.000,3 hab.,84 m²,Planta 1ª exterior con ascensor,/inmueble/101624691/,"
Magnífico piso junto carretera Ledesma muy cuidado, para entrar a vivir. Consta de bonito salón exterior de 19m2, 3 habitaciones con armario empotrado ( 1 doble con cuarto de baño tipo suite y 2 individuales), 2 cuartos de baño completos ( uno con bañera y otro con plato de ducha), cocina amueblada
"
"
Piso en Salesas, Salamanca
",280.000,5 hab.,147 m²,Planta 4ª exterior con ascensor,/inmueble/100604523/,"
TORREVIAL, vende gran piso de 125 metros útiles, en la Avd. Portugal, junto a San Juan.
Actualmente tiene 5 dormitorios (3 son dobles), salón con salida a terraza, cocina con galería cerrada,
más baño y aseo.
La vivienda tiene dos puertas de entrada. Ascensor. Servicios centrales. Posibilidad de
"
"
Piso en Pizarrales, Salamanca
",160.000,3 hab.,94 m²,Planta 1ª exterior con ascensor,/inmueble/100913083/,"
VIVIENDA CONSTRUIDA EN EL AÑO 2007, TOTALMENTE AMUEBLADO. Carretera Ledesma, zona del Centro Social de Pizarrales.
Piso muy bien distribuido con salón con balcón-mirador, tres dormitorios, cocina independiente amueblada y equipada y dos baños, uno con plato de ducha (uno en suite con bañera hidrom
"
"
Piso en Rollo - Puente Ladrillo, Salamanca
",165.000,3 hab.,138 m²,Planta 3ª exterior con ascensor,/inmueble/101637092/,"
mym Consultora Inmobiliaria vende junto a la Avenida de Comuneros, vivienda distribuida en tres amplios dormitorios, dos baños, cocina equipada y gran salón, con dos ventanas y mucha luz.
Edificio actual, sin barreras arquitectónicas, con servicios individuales de calefacción y agua caliente.
Destac
"
"
Piso en calle Ignacio Zuloaga, La Salle - Vistahermosa, Salamanca
",110.003,2 hab.,70 m²,Planta 3ª exterior con ascensor,/inmueble/101970248/,"
Se vende Piso con ascensor muy luminoso en la zona de LA SALLE. Tiene una superficie de 70 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesados pregun
"
"
Chalet adosado en Barrio Blanco, Salamanca
",160.999,2 hab.,70 m²,,/inmueble/92326399/,"
A ESTRENAR REFORMA. Vivienda Unifamiliar, JUNTO A LA AVENIDA SALAMANCA y próximo a Carrefour y Barrio Vidal.
Oportunidad de vivir a tan solo 5 minutos caminando del Centro, en una sola planta baja con un agradable y bonito patio de 12 m2 totalmente rehabilitada, con altas calidades.
Distribuida en
"
"
Piso en San José - Parador - Zurguen, Salamanca
",98.000,3 hab.,85 m²,Planta 9ª exterior con ascensor,/inmueble/99961205/,"
mym Consultora Inmobiliaria vende junto al INEM y la iglesia de San José, piso completamente reformado con calidades de alta gama, distribuido en tres dormitorios, baño con ducha, cocina completamente equipada con electrodomésticos y acceso a galería acristalada que permite ampliar el espacio de alm
"
"
Ático en calle Cándido Albarrán, Pizarrales, Salamanca
",129.999,2 hab.,66 m²,Planta 3ª exterior con ascensor,/inmueble/101970276/,"
Se vende ESTUPENDO Ático con ascensor muy luminoso en la zona de Salamanca. Tiene una superficie de 66 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. TRASTERO Y ASCENSOR, SE VENDE CON LOS MUEBLES. Es exterior, con una excelente situación cerca de colegio, farmac
"
"
Piso en San José - Parador - Zurguen, Salamanca
",66.000,4 hab.,105 m²,Planta 2ª exterior sin ascensor,/inmueble/82687235/,"
Piso en el BARRIO SAN JOSÉ, totalmente reformado, cuatro dormitorios, dos armarios empotrados, dos baños con ventana, gran salón y cocina con salida ambas estancias a balcón cerrado.
2ª planta sin ascensor totalmente exterior hasta los baños con orientación Sur-Oeste.
Suelos de tarima, excepto cocin
"
"
Piso en calle Guerrilleros, Garrido sur, Salamanca
",160.900,2 hab.,89 m²,Planta 1ª exterior con ascensor,/inmueble/101984354/,"
Agencia inmobiliaria de Salamanca, Garrido Sur, Oficina Tecnocasa:
Vende: Piso en Calle Guerrilleros, junto a Avenida Portugal y a tan solo cinco minutos de Plaza España.
El inmueble cuenta con noventa metros cuadrados construidios distribuidos en dos apartamentos de un dormitorio con entrada inde
"
"
Piso en Carmelitas, Salamanca
",380.000,3 hab.,164 m²,Planta 5ª exterior con ascensor,/inmueble/101698873/,"
Se vende amplia vivienda con altura y vistas en el mejor tramo del Paseo de Carmelitas. La vivienda tiene 140 m2 útiles y se distribuye en espacioso amplio hall de entrada, gran salón de esquina con diferentes ambientes y con acceso a balcón (se le unió un dormitorio), espaciosa cocina completamente
"
"
Piso en San José - Parador - Zurguen, Salamanca
",98.000,3 hab.,85 m²,Planta 9ª exterior con ascensor,/inmueble/99961205/,"
mym Consultora Inmobiliaria vende junto al INEM y la iglesia de San José, piso completamente reformado con calidades de alta gama, distribuido en tres dormitorios, baño con ducha, cocina completamente equipada con electrodomésticos y acceso a galería acristalada que permite ampliar el espacio de alm
"
"
Piso en Garrido norte, Salamanca
",150.000,3 hab.,102 m²,Planta 4ª exterior con ascensor,/inmueble/100395338/,"
mym Consultora Inmobiliaria vende, muy próximo al Corte Inglés, piso distribuido en tres dormitorios, dos de ellos dobles y uno sencillo, muy amplia cocina equipada, dos baños y un bonito y muy luminoso salón con balcón.
La vivienda es toda exterior a excepción de los baños y tiene excelente conserv
"
"
Piso en Centro, Salamanca
",395.000,4 hab.,140 m²,Planta 2ª exterior con ascensor,/inmueble/96321308/,"
Se vende DUPLEX en pleno centro de Salamanca. A 2 minutos andando de la Plaza Mayor.
Chaflán, todo exterior. ¡Reformado íntegramente!
Se distribuye en dos plantas de la siguiente manera:
PLANTA PRIMERA: dos puertas de entrada, dos habitaciones, cuarto de baño y buen salón-cocina ( se puede independ
"
"
Piso en paseo de la Estación, Garrido sur, Salamanca
",152.000,3 hab.,90 m²,Planta 8ª exterior con ascensor,/inmueble/102149799/,"
Se vende Piso con ascensor muy luminoso en la zona de Paseo Estacion. REFORMADO, Tiene una superficie de 90 m2, distribuidos en 3 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. I
"
"
Casa o chalet independiente en Capuchinos-Glorieta-C. Jardín, Salamanca
",850.000,6 hab.,467 m²,,/inmueble/101255148/,"
Se vende espectacular villa en Salamanca capital de 6 habitaciones y 6 cuartos de baño, única y exclusiva, a un paso de la ciudad. Construida sobre una parcela de aproximadamente 9.500 m2 la vivienda principal se distribuye en:
Planta Baja: acogedor porche exterior, amplio y bonito hall de entrada,
"
"
Finca rústica en Rollo - Puente Ladrillo, Salamanca
",550.000,3 hab.,50 m²,,/inmueble/101097003/,"
Urbis te ofrece una parcela con vivienda zona Puente Ladrillo de Salamanca.
Es una parcela de dos hectáreas, tiene una casa distribuida en salón, cocina, baño y tres dormitorios.
Es perfecta si buscas una parcela cerca de la ciudad.
No lo dudes, aquí tienes el terreno de tus sueños.
Comp
"
"
Piso en calle Bachiller Finardo Valerio, Pizarrales, Salamanca
",135.000,3 hab.,92 m²,Planta 1ª exterior con ascensor,/inmueble/98344577/,"
Zona Huerta Otea, piso de 3 dormitorios, salón, cocina, baño, aseo, calefacción, ascensor, exterior, garaje, jardín comunitario...
"
"
Piso en calle Silvestre Sánchez Sierra, Capuchinos-Glorieta-C. Jardín, Salamanca
",289.000,2 hab.,98 m²,Planta 2ª exterior con ascensor,/inmueble/100372340/,"
CILLEROS INMOBILIARIA
Espectacular vivienda en la Urbanización mas exclusiva de Salamanca
Piso de 3 dormitorios, reformado de lujo y convertido en 2 dormitorios con 2 baños completos. Salón de 29 m2, patio en la cocina grande, plaza de garaje para coche grande.
Piscinas, Pista de paddel, Zonas ver
"
